time,E,H,I,R,S
0,135,0,9,0,9856
0,134,0,10,0,9856
0.00891379,133,0,11,0,9856
0.0156269,132,0,12,0,9856
0.0268754,133,0,12,0,9855
0.0947804,134,0,12,0,9854
0.10112,135,0,12,0,9853
0.113558,136,0,12,0,9852
0.116509,137,0,12,0,9851
0.139805,136,0,13,0,9851
0.21943,137,0,13,0,9850
0.252378,136,0,14,0,9850
0.256738,136,0,13,1,9850
0.264373,135,0,14,1,9850
0.314946,135,0,13,2,9850
0.323294,134,0,14,2,9850
0.351124,133,0,15,2,9850
0.367005,132,0,16,2,9850
0.395374,132,0,15,3,9850
0.44525,133,0,15,3,9849
0.489874,133,0,14,4,9849
0.539007,132,0,15,4,9849
0.572525,131,0,16,4,9849
0.62464,130,0,17,4,9849
0.662409,131,0,17,4,9848
0.673492,130,0,18,4,9848
0.704891,129,0,19,4,9848
0.708305,130,0,19,4,9847
0.720618,129,0,20,4,9847
0.72775,130,0,20,4,9846
0.761585,131,0,20,4,9845
0.806786,130,0,21,4,9845
0.840823,131,0,21,4,9844
0.86043,132,0,21,4,9843
0.91299,131,0,22,4,9843
0.921851,130,0,23,4,9843
0.942291,131,0,23,4,9842
0.95272,130,0,24,4,9842
0.95918,129,0,25,4,9842
0.977998,129,0,24,5,9842
1.02116,128,0,25,5,9842
1.02154,129,0,25,5,9841
1.03204,128,0,26,5,9841
1.08067,127,0,27,5,9841
1.08846,127,0,26,6,9841
1.09804,128,0,26,6,9840
1.12563,129,0,26,6,9839
1.13225,130,0,26,6,9838
1.13717,129,0,27,6,9838
1.15328,128,0,28,6,9838
1.18879,127,0,29,6,9838
1.20498,127,0,28,7,9838
1.21863,126,0,29,7,9838
1.22947,125,0,30,7,9838
1.23106,126,0,30,7,9837
1.25813,125,0,31,7,9837
1.27581,124,0,32,7,9837
1.28397,125,0,32,7,9836
1.29108,124,0,33,7,9836
1.31541,123,0,34,7,9836
1.32502,124,0,34,7,9835
1.33272,123,0,35,7,9835
1.34998,124,0,35,7,9834
1.35695,125,0,35,7,9833
1.36678,124,0,36,7,9833
1.37026,123,0,37,7,9833
1.38313,124,0,37,7,9832
1.39193,125,0,37,7,9831
1.39254,124,0,38,7,9831
1.39345,125,0,38,7,9830
1.39914,125,0,37,8,9830
1.42055,124,0,38,8,9830
1.44165,124,0,37,9,9830
